name,ligID,targetID_autodock,instance_autodock,score_autodock,targetID_dock,instance_dock,score_dock,rmsd_autodock_dock,consensus
CHEMBL1836893,lig0001,target001,autodock,-8.950,target001,,,,False
CHEMBL4078859,lig0002,target001,autodock,-10.710,target001,dock,-51.980,0.720,True
CHEMBL4103135,lig0003,target001,autodock,-12.700,target001,,,,False
CHEMBL1836881,lig0004,target001,autodock,-9.610,target001,dock,-49.010,3.530,False
CHEMBL1836879,lig0005,target001,autodock,-9.560,target001,dock,-48.121,1.291,True
CHEMBL2315166,lig0006,target001,autodock,-10.650,target001,dock,-52.315,2.115,False
CHEMBL4070546,lig0007,target001,autodock,-10.250,target001,,,,False
CHEMBL4094458,lig0008,target001,autodock,-10.260,target001,dock,-47.655,0.979,True
CHEMBL4095178,lig0009,target001,autodock,-11.350,target001,,,,False
CHEMBL4074704,lig0010,target001,autodock,-9.990,target001,dock,-49.293,2.602,False
CHEMBL2315165,lig0011,target001,autodock,-8.830,target001,dock,-52.764,0.917,True
CHEMBL1082983,lig0012,target001,autodock,-9.790,target001,dock,-41.796,20.654,False
CHEMBL4086717,lig0013,target001,autodock,-11.140,target001,dock,-46.827,5.945,False
CHEMBL2315152,lig0014,target001,autodock,-9.630,target001,dock,-54.285,1.066,True
CHEMBL519690,lig0015,target001,autodock,-9.960,target001,dock,-67.437,2.008,False
CHEMBL4088330,lig0016,target001,autodock,-8.880,target001,dock,-43.809,1.780,True
CHEMBL483597,lig0017,target001,autodock,-8.720,target001,dock,-70.876,12.264,False
CHEMBL4104700,lig0018,target001,autodock,-10.610,target001,dock,-45.085,5.714,False
CHEMBL1271706,lig0019,target001,autodock,-11.370,target001,dock,-37.921,4.672,False
CHEMBL426485,lig0020,target001,autodock,-8.280,target001,dock,-51.305,1.843,True
CHEMBL4079841,lig0021,target001,autodock,-9.440,target001,dock,-42.084,3.952,False
CHEMBL1836895,lig0022,target001,autodock,-9.850,target001,dock,-51.169,1.432,True
CHEMBL383765,lig0023,target001,autodock,-10.550,target001,dock,-49.841,0.304,True
CHEMBL1836896,lig0024,target001,autodock,-8.910,target001,dock,-47.587,0.980,True
CHEMBL4100122,lig0025,target001,autodock,-10.320,target001,,,,False
CHEMBL4090816,lig0026,target001,autodock,-9.520,target001,,,,False
CHEMBL4092365,lig0027,target001,autodock,-10.730,target001,dock,-43.085,5.334,False
CHEMBL1760582,lig0028,target001,autodock,-9.950,target001,dock,-41.570,0.003,True
CHEMBL2315154,lig0029,target001,autodock,-9.900,target001,dock,-53.707,0.377,True
CHEMBL1086473,lig0030,target001,autodock,-11.190,target001,dock,-45.684,5.389,False
CHEMBL4075866,lig0031,target001,autodock,-10.660,target001,dock,-45.071,2.828,False
CHEMBL4082112,lig0032,target001,autodock,-8.470,target001,,,,False
CHEMBL2315163,lig0033,target001,autodock,-9.410,target001,dock,-53.791,2.039,False
CHEMBL4646933,lig0034,target001,autodock,-10.500,target001,dock,-39.408,4.771,False
CHEMBL3827413,lig0035,target001,autodock,-11.650,target001,dock,-67.113,12.485,False
CHEMBL1086474,lig0036,target001,autodock,-9.140,target001,dock,-46.684,7.226,False
CHEMBL4096097,lig0037,target001,autodock,-9.190,target001,dock,-44.173,5.921,False
CHEMBL4079597,lig0038,target001,autodock,-10.880,target001,,,,False
CHEMBL1760443,lig0039,target001,autodock,-8.420,target001,dock,-44.169,0.800,True
CHEMBL4642612,lig0040,target001,autodock,-11.290,target001,dock,-39.385,7.417,False
CHEMBL1836894,lig0041,target001,autodock,-7.960,target001,dock,-50.454,4.001,False
CHEMBL4097707,lig0042,target001,autodock,-10.290,target001,dock,-45.708,21.314,False
CHEMBL4066900,lig0043,target001,autodock,-8.530,target001,dock,-41.441,4.471,False
CHEMBL4065927,lig0044,target001,autodock,-9.290,target001,dock,-47.536,5.102,False
CHEMBL4065786,lig0045,target001,autodock,-10.230,target001,dock,-45.453,4.873,False
CHEMBL4170901,lig0046,target001,autodock,-12.080,target001,dock,-42.530,6.793,False
CHEMBL4103710,lig0047,target001,autodock,-9.100,target001,dock,-45.734,1.786,True
CHEMBL1082642,lig0048,target001,autodock,-11.530,target001,dock,-40.940,5.508,False
CHEMBL4077873,lig0049,target001,autodock,-8.860,target001,dock,-41.107,4.403,False
CHEMBL4071479,lig0050,target001,autodock,-8.060,target001,,,,False
CHEMBL4644843,lig0051,target001,autodock,-10.780,target001,dock,-39.295,3.858,False
CHEMBL1082982,lig0052,target001,autodock,-11.240,target001,,,,False
CHEMBL4074552,lig0053,target001,autodock,-9.670,target001,dock,-43.024,2.118,False
CHEMBL3221827,lig0054,target001,autodock,-8.790,target001,dock,-39.293,0.997,True
CHEMBL4071587,lig0055,target001,autodock,-8.720,target001,dock,-44.505,4.891,False
CHEMBL4075504,lig0056,target001,autodock,-7.870,target001,dock,-44.807,20.338,False
CHEMBL4162974,lig0057,target001,autodock,-11.010,target001,dock,-48.773,5.222,False
CHEMBL1082307,lig0058,target001,autodock,-10.210,target001,dock,-47.432,5.125,False
CHEMBL215536,lig0059,target001,autodock,-8.850,target001,dock,-48.612,2.084,False
CHEMBL4645797,lig0060,target001,autodock,-11.060,target001,dock,-43.807,4.554,False
CHEMBL4102127,lig0061,target001,autodock,-8.760,target001,dock,-45.915,2.446,False
CHEMBL4069818,lig0062,target001,autodock,-8.710,target001,dock,-47.389,0.790,True
CHEMBL4069667,lig0063,target001,autodock,-11.020,target001,,,,False
CHEMBL4160925,lig0064,target001,autodock,-10.990,target001,dock,-49.181,4.866,False
CHEMBL4455899,lig0065,target001,autodock,-7.790,target001,dock,-35.220,4.658,False
CHEMBL1282,lig0066,target001,autodock,-8.730,target001,dock,-33.646,4.391,False
CHEMBL4101498,lig0067,target001,autodock,-9.320,target001,dock,-45.536,1.337,True
CHEMBL549344,lig0068,target001,autodock,-11.530,target001,dock,-50.549,5.841,False
CHEMBL4084584,lig0069,target001,autodock,-7.840,target001,,,,False
CHEMBL4161057,lig0070,target001,autodock,-12.470,target001,dock,-44.662,8.552,False
CHEMBL213396,lig0071,target001,autodock,-8.210,target001,dock,-53.292,5.406,False
CHEMBL3221818,lig0072,target001,autodock,-7.560,target001,dock,-34.957,4.673,False
CHEMBL3221824,lig0073,target001,autodock,-7.290,target001,dock,-36.385,5.227,False
CHEMBL3221825,lig0074,target001,autodock,-6.930,target001,dock,-44.218,1.786,True
CHEMBL3221830,lig0075,target001,autodock,-7.700,target001,dock,-41.707,1.339,True
CHEMBL3221822,lig0076,target001,autodock,-7.590,target001,dock,-38.395,4.587,False
CHEMBL3221823,lig0077,target001,autodock,-9.510,target001,dock,-38.805,6.535,False
CHEMBL4456944,lig0078,target001,autodock,-7.580,target001,dock,-34.031,20.058,False
CHEMBL4448786,lig0079,target001,autodock,-6.580,target001,dock,-32.952,19.959,False
CHEMBL4644708,lig0080,target001,autodock,-11.220,target001,dock,-43.125,4.512,False
CHEMBL3485054,lig0081,target001,autodock,-7.690,target001,dock,-32.607,20.053,False
CHEMBL3963922,lig0082,target001,autodock,-7.960,target001,dock,-53.290,3.481,False
CHEMBL4590302,lig0083,target001,autodock,-6.710,target001,dock,-33.350,19.622,False
CHEMBL4455751,lig0084,target001,autodock,-6.320,target001,dock,-32.549,21.914,False
CHEMBL4644723,lig0085,target001,autodock,-9.190,target001,,,,False
CHEMBL4514055,lig0086,target001,autodock,-6.410,target001,dock,-32.609,5.317,False
CHEMBL3975213,lig0087,target001,autodock,-9.610,target001,dock,-54.622,3.003,False
CHEMBL4473706,lig0088,target001,autodock,-6.210,target001,dock,-31.791,19.574,False
CHEMBL195276,lig0089,target001,autodock,-8.060,target001,dock,-35.763,4.277,False
CHEMBL4285025,lig0090,target001,autodock,-8.480,target001,dock,-34.179,4.409,False
CHEMBL4288029,lig0091,target001,autodock,-10.360,target001,dock,-47.215,7.379,False
CHEMBL4276704,lig0092,target001,autodock,-9.130,target001,dock,-48.501,3.757,False
CHEMBL4280136,lig0093,target001,autodock,-8.320,target001,dock,-45.131,8.255,False
CHEMBL4290288,lig0094,target001,autodock,-9.600,target001,dock,-40.396,4.509,False
CHEMBL3915625,lig0095,target001,autodock,-10.590,target001,dock,-44.439,4.953,False
CHEMBL4286476,lig0096,target001,autodock,-10.360,target001,dock,-42.100,8.912,False
CHEMBL4278564,lig0097,target001,autodock,-8.370,target001,dock,-37.536,9.297,False
CHEMBL4293700,lig0098,target001,autodock,-8.520,target001,dock,-38.630,8.785,False
CHEMBL4284645,lig0099,target001,autodock,-9.030,target001,dock,-42.024,3.761,False
CHEMBL4283103,lig0100,target001,autodock,-10.170,target001,dock,-39.734,5.342,False
CHEMBL4166427,lig0101,target001,autodock,-10.130,target001,dock,-53.347,6.116,False
CHEMBL2216759,lig0102,target001,autodock,-8.930,target001,dock,-36.915,3.969,False
CHEMBL4645696,lig0103,target001,autodock,-9.080,target001,,,,False
ZINC000000000012,lig0104,target001,autodock,-8.550,target001,,,,False
ZINC000000000015,lig0105,target001,autodock,-4.500,target001,dock,-30.393,22.643,False
ZINC000000000018,lig0106,target001,autodock,-5.660,target001,dock,-31.338,5.898,False
ZINC000000000021,lig0107,target001,autodock,-7.370,target001,,,,False
ZINC000000000024,lig0108,target001,autodock,-7.990,target001,dock,-31.825,0.290,True
ZINC000000000028,lig0109,target001,autodock,-6.920,target001,dock,-32.760,22.102,False
ZINC000000000031,lig0110,target001,autodock,-6.700,target001,,,,False
ZINC000000000035,lig0111,target001,autodock,-8.640,target001,,,,False
