name,ligID,targetID,instance,file_l,file_r,instance,autodock,dock,dsx,vina,score
CHEMBL4078859,lig0002,target001,dock,lig0002/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.460,-56.879,-128.997,-7.902,-51.980
CHEMBL1836881,lig0004,target001,dock,lig0004/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.520,-49.102,-127.993,-8.195,-49.010
CHEMBL1836879,lig0005,target001,dock,lig0005/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-7.850,-48.931,-122.560,-7.446,-48.121
CHEMBL2315166,lig0006,target001,dock,lig0006/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-8.320,-51.522,-130.656,-7.479,-52.315
CHEMBL4094458,lig0008,target001,dock,lig0008/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.100,-52.669,-114.863,-8.681,-47.655
CHEMBL4074704,lig0010,target001,dock,lig0010/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.890,-52.830,-127.304,-8.250,-49.293
CHEMBL2315165,lig0011,target001,dock,lig0011/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-8.190,-51.653,-133.218,-8.123,-52.764
CHEMBL1082983,lig0012,target001,dock,lig0012/target001/poses/pose-17.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-5.400,-40.954,-94.942,-6.713,-41.796
CHEMBL4086717,lig0013,target001,dock,lig0013/target001/poses/pose-20.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-7.730,-47.729,-107.952,-7.226,-46.827
CHEMBL2315152,lig0014,target001,dock,lig0014/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.120,-54.660,-126.367,-7.991,-54.285
CHEMBL519690,lig0015,target001,dock,lig0015/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.820,-69.968,-127.955,-8.262,-67.437
CHEMBL4088330,lig0016,target001,dock,lig0016/target001/poses/pose-19.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.500,-46.667,-112.891,-7.702,-43.809
CHEMBL483597,lig0017,target001,dock,lig0017/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.670,-68.782,-95.019,-6.305,-70.876
CHEMBL4104700,lig0018,target001,dock,lig0018/target001/poses/pose-18.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-5.540,-46.207,-100.824,-6.184,-45.085
CHEMBL1271706,lig0019,target001,dock,lig0019/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-5.610,-37.252,-94.217,-5.456,-37.921
CHEMBL426485,lig0020,target001,dock,lig0020/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-8.150,-54.047,-114.600,-7.090,-51.305
CHEMBL4079841,lig0021,target001,dock,lig0021/target001/poses/pose-19.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-5.290,-43.119,-91.305,-5.796,-42.084
CHEMBL1836895,lig0022,target001,dock,lig0022/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.340,-53.311,-123.197,-9.022,-51.169
CHEMBL383765,lig0023,target001,dock,lig0023/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.020,-52.441,-115.237,-8.483,-49.841
CHEMBL1836896,lig0024,target001,dock,lig0024/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.040,-52.112,-115.600,-8.382,-47.587
CHEMBL4092365,lig0027,target001,dock,lig0027/target001/poses/pose-19.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-6.070,-44.844,-98.831,-6.568,-43.085
