name,ligID,targetID,instance,file_l,file_r,instance,autodock,dock,dsx,vina,score
CHEMBL1836893,lig0001,target001,vina,lig0001/target001/poses/pose-13.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-8.470,-47.807,-120.119,-8.342,-8.100
CHEMBL4078859,lig0002,target001,dock,lig0002/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.460,-56.879,-128.997,-7.902,-51.980
CHEMBL4103135,lig0003,target001,vina,lig0003/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-11.370,-54.756,-122.602,-8.597,-9.900
CHEMBL1836881,lig0004,target001,dock,lig0004/target001/poses/pose-22.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.100,-52.829,-140.243,-8.726,-46.103
CHEMBL1836879,lig0005,target001,vina,lig0005/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-9.290,-52.630,-131.774,-7.752,-8.700
CHEMBL2315166,lig0006,target001,autodock,lig0006/target001/poses/pose-4.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-10.030,-55.404,-135.295,-8.447,-10.540
CHEMBL4070546,lig0007,target001,autodock,lig0007/target001/poses/pose-8.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.770,-50.640,-114.963,-7.747,-10.250
CHEMBL4094458,lig0008,target001,dock,lig0008/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.100,-52.669,-114.863,-8.681,-47.655
CHEMBL4095178,lig0009,target001,vina,lig0009/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-7.900,-49.565,-101.626,-7.685,-7.900
CHEMBL4074704,lig0010,target001,vina,lig0010/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-10.890,-52.835,-127.122,-8.235,-9.000
CHEMBL2315165,lig0011,target001,autodock,lig0011/target001/poses/pose-1.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.820,-55.210,-135.129,-8.639,-8.830
CHEMBL1082983,lig0012,target001,vina,lig0012/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-11.010,-44.805,-123.727,-9.682,-9.600
CHEMBL4086717,lig0013,target001,autodock,lig0013/target001/poses/pose-6.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-8.450,-49.707,-108.701,-7.034,-9.190
CHEMBL2315152,lig0014,target001,dock,lig0014/target001/poses/pose-22.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.220,-55.310,-121.597,-7.535,-53.272
CHEMBL519690,lig0015,target001,dock,lig0015/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.820,-69.968,-127.955,-8.262,-67.437
CHEMBL4088330,lig0016,target001,vina,lig0016/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-9.070,-49.685,-112.023,-7.832,-8.600
CHEMBL483597,lig0017,target001,dock,lig0017/target001/poses/pose-24.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-12.000,-78.783,-122.759,-8.962,-66.294
CHEMBL4104700,lig0018,target001,vina,lig0018/target001/poses/pose-12.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-9.990,-49.729,-122.300,-7.862,-8.100
CHEMBL1271706,lig0019,target001,vina,lig0019/target001/poses/pose-14.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-12.480,-43.952,-135.585,-10.129,-9.300
