name,ligID,targetID,instance,file_l,file_r,instance,autodock,dock,dsx,vina,score
CHEMBL1836893,lig0001,target001,vina,lig0001/target001/poses/pose-17.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-5.320,-24.083,-124.950,-7.985,-7.800
CHEMBL4078859,lig0002,target001,vina,lig0002/target001/poses/pose-12.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-9.540,-51.420,-130.739,-8.001,-8.400
CHEMBL4103135,lig0003,target001,vina,lig0003/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-11.370,-54.756,-122.602,-8.597,-9.900
CHEMBL1836881,lig0004,target001,vina,lig0004/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-7.750,-28.320,-146.520,-9.502,-9.900
CHEMBL1836879,lig0005,target001,vina,lig0005/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-9.290,-52.630,-131.774,-7.752,-8.700
CHEMBL2315166,lig0006,target001,dock,lig0006/target001/poses/pose-22.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.360,-53.290,-137.773,-8.742,-49.759
CHEMBL4070546,lig0007,target001,autodock,lig0007/target001/poses/pose-8.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.770,-50.640,-114.963,-7.747,-10.250
CHEMBL4094458,lig0008,target001,autodock,lig0008/target001/poses/pose-4.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.780,-52.019,-116.461,-8.640,-10.260
CHEMBL4095178,lig0009,target001,autodock,lig0009/target001/poses/pose-3.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-11.980,-27.034,-131.432,-6.994,-10.810
CHEMBL4074704,lig0010,target001,dock,lig0010/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.890,-52.830,-127.304,-8.250,-49.293
CHEMBL2315165,lig0011,target001,autodock,lig0011/target001/poses/pose-10.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.130,-52.270,-139.509,-7.934,-8.490
CHEMBL1082983,lig0012,target001,vina,lig0012/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-11.010,-44.805,-123.727,-9.682,-9.600
CHEMBL4086717,lig0013,target001,vina,lig0013/target001/poses/pose-12.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-7.810,-44.178,-116.557,-7.623,-8.200
CHEMBL2315152,lig0014,target001,autodock,lig0014/target001/poses/pose-8.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.320,-54.076,-127.726,-8.715,-9.630
CHEMBL519690,lig0015,target001,dock,lig0015/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.820,-69.968,-127.955,-8.262,-67.437
CHEMBL4088330,lig0016,target001,autodock,lig0016/target001/poses/pose-10.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-10.020,-45.806,-121.853,-8.401,-8.690
CHEMBL483597,lig0017,target001,vina,lig0017/target001/poses/pose-12.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-11.860,-71.171,-137.023,-9.569,-9.100
CHEMBL4104700,lig0018,target001,autodock,lig0018/target001/poses/pose-4.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.840,-48.480,-131.096,-8.027,-10.340
CHEMBL1271706,lig0019,target001,vina,lig0019/target001/poses/pose-14.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-12.480,-43.952,-135.585,-10.129,-9.300
CHEMBL426485,lig0020,target001,vina,lig0020/target001/poses/pose-11.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,vina,-8.500,-52.861,-122.283,-7.975,-9.200
CHEMBL4079841,lig0021,target001,autodock,lig0021/target001/poses/pose-4.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.250,-44.766,-121.548,-7.482,-9.440
CHEMBL1836895,lig0022,target001,dock,lig0022/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.340,-53.311,-123.197,-9.022,-51.169
CHEMBL383765,lig0023,target001,autodock,lig0023/target001/poses/pose-7.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.040,-52.250,-116.062,-8.460,-10.550
CHEMBL1836896,lig0024,target001,autodock,lig0024/target001/poses/pose-7.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-9.120,-50.663,-119.447,-8.457,-8.910
CHEMBL4100122,lig0025,target001,autodock,lig0025/target001/poses/pose-7.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-8.280,-40.737,-115.905,-7.096,-8.860
CHEMBL4090816,lig0026,target001,autodock,lig0026/target001/poses/pose-5.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-8.590,-45.808,-118.097,-7.783,-9.110
CHEMBL4092365,lig0027,target001,autodock,lig0027/target001/poses/pose-5.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,autodock,-10.110,-42.120,-114.002,-7.537,-10.470
CHEMBL1760582,lig0028,target001,dock,lig0028/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-10.350,-52.372,-104.912,-8.630,-41.570
CHEMBL2315154,lig0029,target001,dock,lig0029/target001/poses/pose-21.mol2,../../targets/target001/6lvy_protein_prep_ph5_aligned.pdb,dock,-9.970,-57.347,-138.436,-8.881,-53.707
