name,ligID,targetID_autodock,instance_autodock,autodock,targetID_dsx,instance_dsx,dsx,rmsd_autodock_dsx,consensus
CHEMBL1836893,lig0001,target001,autodock,-8.710,target001,vina,-124.950,5.456,False
CHEMBL4078859,lig0002,target001,vina,-10.850,target001,vina,-130.739,2.139,False
CHEMBL4103135,lig0003,target001,autodock,-11.410,target001,vina,-122.602,1.431,True
CHEMBL1836881,lig0004,target001,autodock,-11.010,target001,vina,-146.520,5.641,False
CHEMBL1836879,lig0005,target001,autodock,-9.550,target001,vina,-131.774,2.229,False
CHEMBL2315166,lig0006,target001,autodock,-10.030,target001,dock,-137.773,1.995,True
CHEMBL4070546,lig0007,target001,autodock,-9.770,target001,autodock,-114.963,0.000,True
CHEMBL4094458,lig0008,target001,vina,-10.100,target001,autodock,-116.461,0.979,True
CHEMBL4095178,lig0009,target001,autodock,-11.980,target001,autodock,-131.432,0.000,True
CHEMBL4074704,lig0010,target001,vina,-10.890,target001,dock,-127.304,0.011,True
CHEMBL2315165,lig0011,target001,autodock,-9.820,target001,autodock,-139.509,1.283,True
CHEMBL1082983,lig0012,target001,vina,-11.010,target001,vina,-123.727,0.000,True
CHEMBL4086717,lig0013,target001,autodock,-10.530,target001,vina,-116.557,4.563,False
CHEMBL2315152,lig0014,target001,autodock,-9.320,target001,autodock,-127.726,0.000,True
CHEMBL519690,lig0015,target001,dock,-10.820,target001,dock,-127.955,0.000,True
CHEMBL4088330,lig0016,target001,autodock,-10.220,target001,autodock,-121.853,0.786,True
CHEMBL483597,lig0017,target001,vina,-15.690,target001,vina,-137.023,4.508,False
CHEMBL4104700,lig0018,target001,autodock,-10.610,target001,autodock,-131.096,1.921,True
CHEMBL1271706,lig0019,target001,autodock,-12.610,target001,vina,-135.585,1.790,True
CHEMBL426485,lig0020,target001,vina,-8.500,target001,vina,-122.283,0.000,True
CHEMBL4079841,lig0021,target001,autodock,-9.250,target001,autodock,-121.548,0.000,True
CHEMBL1836895,lig0022,target001,autodock,-9.460,target001,dock,-123.197,1.432,True
CHEMBL383765,lig0023,target001,autodock,-9.070,target001,autodock,-116.062,0.411,True
CHEMBL1836896,lig0024,target001,autodock,-9.120,target001,autodock,-119.447,0.000,True
CHEMBL4100122,lig0025,target001,autodock,-11.240,target001,autodock,-115.905,4.490,False
CHEMBL4090816,lig0026,target001,autodock,-9.360,target001,autodock,-118.097,1.253,True
CHEMBL4092365,lig0027,target001,autodock,-10.110,target001,autodock,-114.002,0.000,True
CHEMBL1760582,lig0028,target001,autodock,-10.400,target001,dock,-104.912,0.785,True
CHEMBL2315154,lig0029,target001,dock,-9.970,target001,dock,-138.436,0.000,True
CHEMBL1086473,lig0030,target001,autodock,-12.160,target001,vina,-128.201,0.260,True
CHEMBL4075866,lig0031,target001,autodock,-10.630,target001,autodock,-132.433,0.000,True
CHEMBL4082112,lig0032,target001,vina,-10.750,target001,vina,-109.003,0.000,True
CHEMBL2315163,lig0033,target001,dock,-8.520,target001,dock,-136.435,2.707,False
CHEMBL4646933,lig0034,target001,autodock,-11.340,target001,autodock,-121.521,0.000,True
CHEMBL3827413,lig0035,target001,autodock,-12.040,target001,autodock,-124.035,11.705,False
CHEMBL1086474,lig0036,target001,autodock,-9.890,target001,vina,-123.846,6.920,False
CHEMBL4096097,lig0037,target001,autodock,-11.640,target001,autodock,-112.164,5.203,False
CHEMBL4079597,lig0038,target001,autodock,-10.410,target001,autodock,-121.653,0.000,True
CHEMBL1760443,lig0039,target001,autodock,-8.470,target001,vina,-106.311,4.622,False
CHEMBL4642612,lig0040,target001,autodock,-11.310,target001,autodock,-130.274,0.000,True
CHEMBL1836894,lig0041,target001,vina,-8.650,target001,autodock,-130.288,5.407,False
CHEMBL4097707,lig0042,target001,autodock,-9.890,target001,dock,-119.629,21.513,False
CHEMBL4066900,lig0043,target001,autodock,-9.170,target001,autodock,-115.161,0.433,True
CHEMBL4065927,lig0044,target001,vina,-10.840,target001,dock,-124.096,2.159,False
CHEMBL4065786,lig0045,target001,autodock,-11.040,target001,autodock,-123.008,0.000,True
CHEMBL4170901,lig0046,target001,autodock,-13.620,target001,autodock,-145.587,0.000,True
CHEMBL4103710,lig0047,target001,vina,-9.840,target001,dock,-117.622,0.444,True
CHEMBL1082642,lig0048,target001,vina,-11.910,target001,vina,-124.232,0.000,True
CHEMBL4077873,lig0049,target001,autodock,-8.880,target001,vina,-111.327,0.956,True
CHEMBL4071479,lig0050,target001,autodock,-9.210,target001,vina,-116.733,0.842,True
CHEMBL4644843,lig0051,target001,autodock,-11.780,target001,autodock,-122.692,0.354,True
CHEMBL1082982,lig0052,target001,autodock,-11.790,target001,autodock,-130.161,0.000,True
CHEMBL4074552,lig0053,target001,vina,-9.320,target001,autodock,-113.670,0.721,True
CHEMBL3221827,lig0054,target001,dock,-8.770,target001,autodock,-101.518,4.315,False
CHEMBL4071587,lig0055,target001,autodock,-8.600,target001,autodock,-110.685,2.179,False
CHEMBL4075504,lig0056,target001,autodock,-9.460,target001,vina,-118.993,4.666,False
CHEMBL4162974,lig0057,target001,autodock,-11.580,target001,autodock,-137.093,0.000,True
CHEMBL1082307,lig0058,target001,autodock,-11.200,target001,vina,-130.289,1.193,True
CHEMBL215536,lig0059,target001,autodock,-9.220,target001,autodock,-117.127,0.584,True
CHEMBL4645797,lig0060,target001,autodock,-11.050,target001,autodock,-123.041,0.441,True
CHEMBL4102127,lig0061,target001,autodock,-8.490,target001,vina,-109.920,1.015,True
CHEMBL4069818,lig0062,target001,autodock,-9.130,target001,vina,-116.287,0.666,True
CHEMBL4069667,lig0063,target001,vina,-11.350,target001,vina,-123.363,0.000,True
CHEMBL4160925,lig0064,target001,autodock,-11.570,target001,autodock,-137.647,0.000,True
CHEMBL4455899,lig0065,target001,autodock,-7.440,target001,autodock,-88.529,4.114,False
CHEMBL1282,lig0066,target001,autodock,-8.790,target001,dock,-94.045,19.308,False
CHEMBL4101498,lig0067,target001,autodock,-9.840,target001,autodock,-113.687,1.635,True
CHEMBL549344,lig0068,target001,autodock,-12.230,target001,vina,-117.083,0.939,True
CHEMBL4084584,lig0069,target001,autodock,-9.020,target001,autodock,-105.244,0.464,True
CHEMBL4161057,lig0070,target001,autodock,-13.360,target001,autodock,-149.560,0.276,True
CHEMBL213396,lig0071,target001,dock,-9.610,target001,vina,-128.339,6.576,False
CHEMBL3221818,lig0072,target001,autodock,-7.670,target001,vina,-94.078,4.245,False
CHEMBL3221824,lig0073,target001,autodock,-7.640,target001,autodock,-100.941,4.925,False
CHEMBL3221825,lig0074,target001,dock,-6.280,target001,vina,-95.517,4.649,False
CHEMBL3221830,lig0075,target001,autodock,-7.790,target001,autodock,-111.258,4.615,False
CHEMBL3221822,lig0076,target001,autodock,-7.730,target001,autodock,-96.983,4.750,False
CHEMBL3221823,lig0077,target001,autodock,-9.250,target001,autodock,-99.853,1.060,True
CHEMBL4456944,lig0078,target001,autodock,-8.490,target001,dock,-102.161,20.761,False
CHEMBL4448786,lig0079,target001,autodock,-6.900,target001,dock,-89.058,19.959,False
CHEMBL4644708,lig0080,target001,autodock,-11.350,target001,autodock,-126.647,0.744,True
CHEMBL3485054,lig0081,target001,autodock,-8.690,target001,autodock,-93.362,4.931,False
CHEMBL3963922,lig0082,target001,autodock,-8.040,target001,autodock,-121.444,10.634,False
CHEMBL4590302,lig0083,target001,autodock,-6.640,target001,dock,-94.930,19.430,False
CHEMBL4455751,lig0084,target001,autodock,-6.290,target001,autodock,-82.634,3.825,False
CHEMBL4644723,lig0085,target001,autodock,-7.740,target001,autodock,-113.480,0.000,True
CHEMBL4514055,lig0086,target001,autodock,-6.260,target001,autodock,-87.663,5.002,False
CHEMBL3975213,lig0087,target001,autodock,-10.040,target001,autodock,-134.553,10.613,False
CHEMBL4473706,lig0088,target001,autodock,-6.470,target001,dock,-83.788,19.399,False
CHEMBL195276,lig0089,target001,autodock,-8.530,target001,vina,-93.737,0.850,True
CHEMBL4285025,lig0090,target001,autodock,-9.930,target001,vina,-100.360,0.983,True
CHEMBL4288029,lig0091,target001,autodock,-11.290,target001,autodock,-129.817,6.195,False
CHEMBL4276704,lig0092,target001,autodock,-10.710,target001,autodock,-135.969,0.000,True
CHEMBL4280136,lig0093,target001,autodock,-8.610,target001,vina,-114.654,8.042,False
CHEMBL4290288,lig0094,target001,autodock,-12.170,target001,autodock,-111.624,8.566,False
CHEMBL3915625,lig0095,target001,autodock,-9.970,target001,autodock,-127.608,2.385,False
CHEMBL4286476,lig0096,target001,autodock,-9.150,target001,autodock,-110.688,0.000,True
CHEMBL4278564,lig0097,target001,autodock,-11.280,target001,autodock,-113.061,0.000,True
CHEMBL4293700,lig0098,target001,autodock,-8.530,target001,autodock,-114.731,13.262,False
CHEMBL4284645,lig0099,target001,autodock,-9.290,target001,vina,-113.700,4.530,False
CHEMBL4283103,lig0100,target001,autodock,-12.170,target001,autodock,-106.033,9.537,False
CHEMBL4166427,lig0101,target001,autodock,-10.950,target001,vina,-124.978,1.315,True
CHEMBL2216759,lig0102,target001,autodock,-9.830,target001,autodock,-107.089,0.000,True
CHEMBL4645696,lig0103,target001,autodock,-7.640,target001,autodock,-107.275,14.715,False
ZINC000000000012,lig0104,target001,vina,-8.580,target001,autodock,-98.491,5.525,False
ZINC000000000015,lig0105,target001,autodock,-6.090,target001,autodock,-64.381,0.000,True
ZINC000000000018,lig0106,target001,autodock,-5.800,target001,vina,-76.956,4.564,False
ZINC000000000021,lig0107,target001,autodock,-8.210,target001,autodock,-92.961,3.553,False
ZINC000000000024,lig0108,target001,autodock,-7.530,target001,vina,-97.851,0.245,True
ZINC000000000028,lig0109,target001,autodock,-6.340,target001,vina,-85.131,22.117,False
ZINC000000000031,lig0110,target001,autodock,-7.820,target001,vina,-89.315,12.072,False
ZINC000000000035,lig0111,target001,autodock,-7.530,target001,autodock,-105.185,0.000,True
ZINC000000000039,lig0112,target001,autodock,-10.240,target001,vina,-102.013,5.965,False
ZINC000000000044,lig0113,target001,autodock,-5.830,target001,dock,-70.502,20.424,False
ZINC000000000045,lig0114,target001,vina,-6.100,target001,dock,-75.512,1.438,True
ZINC000000000048,lig0115,target001,autodock,-6.620,target001,autodock,-84.076,4.455,False
ZINC000000000051,lig0116,target001,autodock,-7.580,target001,autodock,-85.373,0.000,True
ZINC000000000061,lig0117,target001,vina,-7.640,target001,autodock,-75.171,4.455,False
ZINC000000000076,lig0118,target001,vina,-7.050,target001,autodock,-75.904,5.646,False
ZINC000000000078,lig0119,target001,autodock,-7.300,target001,dock,-88.028,20.829,False
ZINC000000000083,lig0120,target001,autodock,-4.290,target001,vina,-58.333,14.843,False
ZINC000000000088,lig0121,target001,autodock,-9.350,target001,autodock,-108.781,0.411,True
ZINC000000000123,lig0122,target001,autodock,-10.710,target001,autodock,-108.578,0.000,True
ZINC000000000125,lig0123,target001,autodock,-5.980,target001,autodock,-66.575,0.000,True
ZINC000000000128,lig0124,target001,autodock,-8.400,target001,vina,-95.965,6.196,False
ZINC000000000130,lig0125,target001,autodock,-6.670,target001,autodock,-76.819,1.513,True
ZINC000000000133,lig0126,target001,autodock,-7.530,target001,dock,-73.910,20.454,False
ZINC000000000135,lig0127,target001,vina,-5.650,target001,dock,-71.445,19.484,False
ZINC000000000136,lig0128,target001,dock,-6.280,target001,dock,-77.365,5.238,False
ZINC000000000137,lig0129,target001,autodock,-8.550,target001,vina,-96.587,5.456,False
ZINC000000000140,lig0130,target001,autodock,-7.050,target001,vina,-80.383,20.941,False
ZINC000000000142,lig0131,target001,autodock,-8.330,target001,dock,-102.022,20.309,False
ZINC000000000145,lig0132,target001,autodock,-8.100,target001,vina,-95.536,3.615,False
ZINC000000000152,lig0133,target001,autodock,-9.230,target001,dock,-117.466,4.325,False
ZINC000000000153,lig0134,target001,autodock,-7.750,target001,autodock,-99.411,4.860,False
ZINC000000000164,lig0135,target001,autodock,-8.530,target001,vina,-102.727,5.583,False
ZINC000000000166,lig0136,target001,autodock,-6.790,target001,vina,-87.117,4.949,False
ZINC000000000167,lig0137,target001,autodock,-9.720,target001,autodock,-104.371,4.733,False
ZINC000000000172,lig0138,target001,autodock,-8.090,target001,vina,-87.144,3.747,False
ZINC000000000176,lig0139,target001,autodock,-8.480,target001,vina,-82.087,3.463,False
ZINC000000000179,lig0140,target001,autodock,-8.780,target001,autodock,-98.742,0.000,True
ZINC000000000181,lig0141,target001,autodock,-7.330,target001,autodock,-92.436,0.087,True
ZINC000000000184,lig0142,target001,autodock,-6.810,target001,autodock,-70.241,0.000,True
ZINC000000000186,lig0143,target001,autodock,-6.070,target001,vina,-89.618,4.884,False
ZINC000000000189,lig0144,target001,vina,-9.320,target001,autodock,-99.972,6.095,False
ZINC000000000196,lig0145,target001,autodock,-8.330,target001,vina,-102.384,4.711,False
ZINC000000000198,lig0146,target001,autodock,-8.830,target001,vina,-105.744,5.372,False
ZINC000000000200,lig0147,target001,autodock,-8.670,target001,autodock,-105.004,0.000,True
ZINC000000000231,lig0148,target001,autodock,-6.100,target001,autodock,-82.863,14.097,False
ZINC000000000232,lig0149,target001,autodock,-6.930,target001,autodock,-71.209,0.000,True
ZINC000000000241,lig0150,target001,autodock,-6.410,target001,vina,-78.137,2.655,False
ZINC000000000245,lig0151,target001,autodock,-8.050,target001,vina,-86.051,3.896,False
ZINC000000000253,lig0152,target001,autodock,-10.420,target001,autodock,-100.597,0.000,True
ZINC000000000254,lig0153,target001,autodock,-6.930,target001,autodock,-85.976,2.418,False
ZINC000000000255,lig0154,target001,vina,-10.450,target001,vina,-106.112,5.965,False
ZINC000000000259,lig0155,target001,autodock,-7.910,target001,autodock,-109.659,1.201,True
ZINC000000000267,lig0156,target001,autodock,-4.720,target001,vina,-54.210,21.832,False
ZINC000000000268,lig0157,target001,autodock,-8.400,target001,autodock,-95.379,0.001,True
ZINC000000000270,lig0158,target001,autodock,-8.380,target001,autodock,-100.959,0.000,True
ZINC000000000272,lig0159,target001,autodock,-7.540,target001,autodock,-88.550,5.195,False
