name,ligID,targetID_autodock,instance_autodock,autodock,targetID_vina,instance_vina,vina,targetID_dsx,instance_dsx,dsx,rmsd_autodock_vina,rmsd_autodock_dsx,consensus
CHEMBL1836893,lig0001,target001,autodock,-8.710,target001,vina,-8.342,target001,vina,-124.950,1.547,5.456,False
CHEMBL4078859,lig0002,target001,vina,-10.850,target001,autodock,-8.146,target001,vina,-130.739,2.022,2.139,False
CHEMBL4103135,lig0003,target001,autodock,-11.410,target001,vina,-8.597,target001,vina,-122.602,1.431,1.431,True
CHEMBL1836881,lig0004,target001,autodock,-11.010,target001,vina,-9.502,target001,vina,-146.520,5.641,5.641,False
CHEMBL1836879,lig0005,target001,autodock,-9.550,target001,vina,-7.904,target001,vina,-131.774,0.691,2.229,False
CHEMBL2315166,lig0006,target001,autodock,-10.030,target001,autodock,-9.102,target001,dock,-137.773,1.648,1.995,True
CHEMBL4070546,lig0007,target001,autodock,-9.770,target001,autodock,-7.747,target001,autodock,-114.963,0.000,0.000,True
CHEMBL4094458,lig0008,target001,vina,-10.100,target001,dock,-8.681,target001,autodock,-116.461,0.005,0.979,True
CHEMBL4095178,lig0009,target001,autodock,-11.980,target001,autodock,-8.463,target001,autodock,-131.432,2.461,0.000,False
CHEMBL4074704,lig0010,target001,vina,-10.890,target001,dock,-8.250,target001,dock,-127.304,0.011,0.011,True
CHEMBL2315165,lig0011,target001,autodock,-9.820,target001,autodock,-8.639,target001,autodock,-139.509,0.000,1.283,True
CHEMBL1082983,lig0012,target001,vina,-11.010,target001,vina,-9.682,target001,vina,-123.727,0.000,0.000,True
CHEMBL4086717,lig0013,target001,autodock,-10.530,target001,vina,-7.623,target001,vina,-116.557,4.563,4.563,False
CHEMBL2315152,lig0014,target001,autodock,-9.320,target001,autodock,-8.715,target001,autodock,-127.726,0.000,0.000,True
CHEMBL519690,lig0015,target001,dock,-10.820,target001,dock,-8.262,target001,dock,-127.955,0.000,0.000,True
CHEMBL4088330,lig0016,target001,autodock,-10.220,target001,autodock,-8.401,target001,autodock,-121.853,0.786,0.786,True
CHEMBL483597,lig0017,target001,vina,-15.690,target001,vina,-9.569,target001,vina,-137.023,4.508,4.508,False
CHEMBL4104700,lig0018,target001,autodock,-10.610,target001,autodock,-8.105,target001,autodock,-131.096,0.780,1.921,True
CHEMBL1271706,lig0019,target001,autodock,-12.610,target001,vina,-10.129,target001,vina,-135.585,1.790,1.790,True
CHEMBL426485,lig0020,target001,vina,-8.500,target001,vina,-7.975,target001,vina,-122.283,0.000,0.000,True
CHEMBL4079841,lig0021,target001,autodock,-9.250,target001,autodock,-7.595,target001,autodock,-121.548,1.080,0.000,True
CHEMBL1836895,lig0022,target001,autodock,-9.460,target001,autodock,-9.067,target001,dock,-123.197,0.000,1.432,True
CHEMBL383765,lig0023,target001,autodock,-9.070,target001,dock,-8.483,target001,autodock,-116.062,0.462,0.411,True
CHEMBL1836896,lig0024,target001,autodock,-9.120,target001,vina,-8.521,target001,autodock,-119.447,1.228,0.000,True
CHEMBL4100122,lig0025,target001,autodock,-11.240,target001,vina,-8.459,target001,autodock,-115.905,4.890,4.490,False
CHEMBL4090816,lig0026,target001,autodock,-9.360,target001,autodock,-7.783,target001,autodock,-118.097,1.253,1.253,True
CHEMBL4092365,lig0027,target001,autodock,-10.110,target001,vina,-7.990,target001,autodock,-114.002,1.965,0.000,True
CHEMBL1760582,lig0028,target001,autodock,-10.400,target001,dock,-8.630,target001,dock,-104.912,0.785,0.785,True
CHEMBL2315154,lig0029,target001,dock,-9.970,target001,dock,-8.881,target001,dock,-138.436,0.000,0.000,True
CHEMBL1086473,lig0030,target001,autodock,-12.160,target001,vina,-10.328,target001,vina,-128.201,0.260,0.260,True
CHEMBL4075866,lig0031,target001,autodock,-10.630,target001,vina,-7.888,target001,autodock,-132.433,1.257,0.000,True
CHEMBL4082112,lig0032,target001,vina,-10.750,target001,vina,-8.121,target001,vina,-109.003,0.000,0.000,True
CHEMBL2315163,lig0033,target001,dock,-8.520,target001,dock,-7.490,target001,dock,-136.435,2.161,2.707,False
CHEMBL4646933,lig0034,target001,autodock,-11.340,target001,autodock,-9.219,target001,autodock,-121.521,0.000,0.000,True
CHEMBL3827413,lig0035,target001,autodock,-12.040,target001,vina,-8.049,target001,autodock,-124.035,9.778,11.705,False
CHEMBL1086474,lig0036,target001,autodock,-9.890,target001,vina,-9.421,target001,vina,-123.846,4.495,6.920,False
CHEMBL4096097,lig0037,target001,autodock,-11.640,target001,vina,-7.319,target001,autodock,-112.164,5.923,5.203,False
CHEMBL4079597,lig0038,target001,autodock,-10.410,target001,autodock,-8.641,target001,autodock,-121.653,0.000,0.000,True
CHEMBL1760443,lig0039,target001,autodock,-8.470,target001,vina,-8.808,target001,vina,-106.311,4.622,4.622,False
CHEMBL4642612,lig0040,target001,autodock,-11.310,target001,autodock,-9.278,target001,autodock,-130.274,0.000,0.000,True
CHEMBL1836894,lig0041,target001,vina,-8.650,target001,autodock,-8.596,target001,autodock,-130.288,5.407,5.407,False
CHEMBL4097707,lig0042,target001,autodock,-9.890,target001,autodock,-7.849,target001,dock,-119.629,1.693,21.513,False
CHEMBL4066900,lig0043,target001,autodock,-9.170,target001,autodock,-7.593,target001,autodock,-115.161,0.433,0.433,True
CHEMBL4065927,lig0044,target001,vina,-10.840,target001,vina,-8.493,target001,dock,-124.096,4.962,2.159,False
CHEMBL4065786,lig0045,target001,autodock,-11.040,target001,autodock,-8.447,target001,autodock,-123.008,2.219,0.000,False
CHEMBL4170901,lig0046,target001,autodock,-13.620,target001,autodock,-9.049,target001,autodock,-145.587,0.000,0.000,True
CHEMBL4103710,lig0047,target001,vina,-9.840,target001,vina,-8.252,target001,dock,-117.622,4.653,0.444,False
CHEMBL1082642,lig0048,target001,vina,-11.910,target001,vina,-10.416,target001,vina,-124.232,0.000,0.000,True
CHEMBL4077873,lig0049,target001,autodock,-8.880,target001,vina,-7.780,target001,vina,-111.327,4.304,0.956,False
CHEMBL4071479,lig0050,target001,autodock,-9.210,target001,vina,-8.008,target001,vina,-116.733,0.842,0.842,True
CHEMBL4644843,lig0051,target001,autodock,-11.780,target001,autodock,-9.214,target001,autodock,-122.692,0.354,0.354,True
CHEMBL1082982,lig0052,target001,autodock,-11.790,target001,autodock,-10.156,target001,autodock,-130.161,1.352,0.000,True
CHEMBL4074552,lig0053,target001,vina,-9.320,target001,vina,-7.947,target001,autodock,-113.670,0.000,0.721,True
CHEMBL3221827,lig0054,target001,dock,-8.770,target001,vina,-8.593,target001,autodock,-101.518,4.584,4.315,False
CHEMBL4071587,lig0055,target001,autodock,-8.600,target001,autodock,-7.159,target001,autodock,-110.685,4.637,2.179,False
CHEMBL4075504,lig0056,target001,autodock,-9.460,target001,autodock,-7.116,target001,vina,-118.993,1.651,4.666,False
CHEMBL4162974,lig0057,target001,autodock,-11.580,target001,autodock,-7.900,target001,autodock,-137.093,0.000,0.000,True
CHEMBL1082307,lig0058,target001,autodock,-11.200,target001,autodock,-9.486,target001,vina,-130.289,4.824,1.193,False
CHEMBL215536,lig0059,target001,autodock,-9.220,target001,vina,-7.928,target001,autodock,-117.127,4.731,0.584,False
CHEMBL4645797,lig0060,target001,autodock,-11.050,target001,autodock,-8.873,target001,autodock,-123.041,0.441,0.441,True
CHEMBL4102127,lig0061,target001,autodock,-8.490,target001,vina,-7.515,target001,vina,-109.920,1.015,1.015,True
CHEMBL4069818,lig0062,target001,autodock,-9.130,target001,dock,-7.030,target001,vina,-116.287,0.716,0.666,True
CHEMBL4069667,lig0063,target001,vina,-11.350,target001,vina,-8.175,target001,vina,-123.363,0.000,0.000,True
CHEMBL4160925,lig0064,target001,autodock,-11.570,target001,autodock,-8.501,target001,autodock,-137.647,0.000,0.000,True
CHEMBL4455899,lig0065,target001,autodock,-7.440,target001,autodock,-8.305,target001,autodock,-88.529,4.317,4.114,False
CHEMBL1282,lig0066,target001,autodock,-8.790,target001,autodock,-8.805,target001,dock,-94.045,0.000,19.308,False
CHEMBL4101498,lig0067,target001,autodock,-9.840,target001,autodock,-7.501,target001,autodock,-113.687,1.316,1.635,True
CHEMBL549344,lig0068,target001,autodock,-12.230,target001,vina,-8.931,target001,vina,-117.083,0.939,0.939,True
CHEMBL4084584,lig0069,target001,autodock,-9.020,target001,autodock,-7.440,target001,autodock,-105.244,0.491,0.464,True
CHEMBL4161057,lig0070,target001,autodock,-13.360,target001,autodock,-9.511,target001,autodock,-149.560,0.276,0.276,True
CHEMBL213396,lig0071,target001,dock,-9.610,target001,dock,-7.481,target001,vina,-128.339,2.076,6.576,False
CHEMBL3221818,lig0072,target001,autodock,-7.670,target001,vina,-8.401,target001,vina,-94.078,4.245,4.245,False
CHEMBL3221824,lig0073,target001,autodock,-7.640,target001,vina,-8.236,target001,autodock,-100.941,5.737,4.925,False
CHEMBL3221825,lig0074,target001,dock,-6.280,target001,dock,-7.112,target001,vina,-95.517,0.000,4.649,False
CHEMBL3221830,lig0075,target001,autodock,-7.790,target001,autodock,-9.277,target001,autodock,-111.258,4.431,4.615,False
CHEMBL3221822,lig0076,target001,autodock,-7.730,target001,vina,-7.726,target001,autodock,-96.983,5.781,4.750,False
CHEMBL3221823,lig0077,target001,autodock,-9.250,target001,autodock,-8.874,target001,autodock,-99.853,1.060,1.060,True
CHEMBL4456944,lig0078,target001,autodock,-8.490,target001,autodock,-9.521,target001,dock,-102.161,0.000,20.761,False
CHEMBL4448786,lig0079,target001,autodock,-6.900,target001,autodock,-8.129,target001,dock,-89.058,0.000,19.959,False
CHEMBL4644708,lig0080,target001,autodock,-11.350,target001,autodock,-9.451,target001,autodock,-126.647,0.000,0.744,True
CHEMBL3485054,lig0081,target001,autodock,-8.690,target001,autodock,-9.162,target001,autodock,-93.362,0.817,4.931,False
CHEMBL3963922,lig0082,target001,autodock,-8.040,target001,autodock,-7.344,target001,autodock,-121.444,0.000,10.634,False
CHEMBL4590302,lig0083,target001,autodock,-6.640,target001,vina,-7.861,target001,dock,-94.930,4.175,19.430,False
